id,company,created_at,type,num_commits
1070,Rackspace,11/15/10,USR,105
1072,Rackspace,12/14/10,USR,471
1073,Klarna AB,02/23/12,USR,162
1074,Rackspace Hosting,07/22/11,USR,703
1076,Rackspace,05/28/10,USR,105
1079,Rackspace,07/14/08,USR,2276
1081,Tilt,06/19/10,USR,224
1083,imgur.com,04/22/10,USR,2156
1095,"Cisco Systems, Inc.",05/12/12,USR,276
1103,Rackspace,06/10/11,USR,736
1105,Cisco Systems,06/30/11,USR,1511
1113,thinkphp,06/24/09,USR,2152
1115,Seamless Docs,05/11/10,USR,1093
1116,cee,10/19/10,USR,933
1118,Floobits,02/09/10,USR,7445
1127,Rackspace,04/02/12,USR,110
1131,Dealertrack,07/22/11,USR,1001
1132,Spotify,04/22/11,USR,230
1145,Mozilla,08/20/08,USR,7338
1147,Blimp,06/23/10,USR,1319
1149,Mozilla,05/21/10,USR,520
1150,"Old Road Studio, Arkency",03/21/09,USR,699
1158,NicheWork LLC,01/01/09,USR,1030
1161,Consultant,10/03/08,USR,5808
1163,HHU Düsseldorf,05/10/11,USR,8747
1167,Carnegie Mellon,07/27/12,USR,448
1170,Swiftbeard Apps,06/06/11,USR,230
1179,Planio,06/15/09,USR,3472
1183,Instantiate,03/30/12,USR,146
1185,CloudBees,09/29/09,USR,6322
1191,finxl.com.au,08/06/08,USR,9546
1194,Uphold,11/16/10,USR,638
1197,"Erls Corporation, DS Foundation",06/23/11,USR,495
1199,bits cooperative,06/04/08,USR,19746
1204,http://rawa7.com,11/18/11,USR,258
1208,OSU Open Source Lab,07/23/10,USR,852
1212,Western Cape Labs,11/29/11,USR,3604
1217,rackspace,08/17/11,USR,3583
1218,@athenahealth,10/15/09,USR,123
1233,Kobelt Manufacturing,07/31/10,USR,108
1235,"Rackspace, US",07/07/10,USR,197
1238,Shift Technology,04/06/10,USR,315
1245,ICOSNET,02/27/10,USR,123
1246,pizza.,12/08/09,USR,7024
1247,Airware,10/17/08,USR,452
1249,Koan Labs,03/12/10,USR,963
1251,Sauce Labs Inc.,04/23/10,USR,574
1252,@Palantir,06/26/11,USR,737
1257,TaskRabbit,12/14/11,USR,452
1270,@ScaleFT,02/17/11,USR,505
1271,Contractor,06/28/11,USR,997
1274,CoreOS,04/27/11,USR,1022
1276,ScaleFT,05/05/09,USR,1238
1280,Rackspace,02/08/12,USR,118
1282,Helpshift.com,02/28/08,USR,395
1285,Rackspace,12/04/10,USR,160
1293,CoreOS,03/16/10,USR,1385
1295,Tilt,09/17/10,USR,1000
1301,Meltwater,12/05/09,USR,465
1302,Rackspace,05/23/11,USR,104
1303,Incode,05/05/08,USR,204
1313,Rackspace,08/30/11,USR,1146
1314,self,01/11/11,USR,138
1320,Educreations,12/08/09,USR,2061
1324,@wealthsimple,11/26/09,USR,2911
1327,"Teleport Network, Inc.",09/16/09,USR,460
1331,Jumo,10/22/10,USR,1002
1338,Mohrenweiser & Partner,02/20/10,USR,1758
